SUID,01,02,03
VLAKTE,05,06
BELLVILLE OOR MONTE VISTA,28
WELLINGTON EN EERSTERIVIER,23,35,34,32
MULDERSVLEI,34
STRAND,32
BELLVILLE OOR LAVISTOWN,90
CHRIS HANI,94,99
KAPTEINSKLIP,95,96
