0352,15:32:00,15:35:00,16:10:00
0353,15:02:00,15:38:00,15:41:00
0354,15:47:00,15:50:00,16:25:00
0355,15:17:00,15:53:00,15:56:00
0356,16:02:00,16:05:00,16:40:00
0357,15:32:00,16:08:00,16:11:00
0358,16:17:00,16:20:00,16:55:00
0359,15:47:00,16:23:00,16:26:00
0360,16:32:00,16:35:00,17:10:00
0361,16:02:00,16:38:00,16:41:00
0362,16:47:00,16:50:00,17:25:00
0363,16:17:00,16:53:00,16:56:00
0364,17:02:00,17:05:00,17:40:00
0365,16:32:00,17:08:00,17:11:00
0366,17:17:00,17:20:00,17:55:00
0367,16:47:00,17:23:00,17:26:00
0368,17:32:00,17:35:00,18:10:00
0369,17:02:00,17:38:00,17:41:00
0370,17:47:00,17:50:00,18:25:00
0371,17:17:00,17:53:00,17:56:00
0372,18:02:00,18:05:00,18:40:00
0501,04:56:00,05:34:00
0502,05:41:00,06:19:00
0503,05:11:00,05:49:00
0504,05:56:00,06:34:00
0505,05:26:00,06:04:00
0506,06:11:00,06:49:00
0507,05:41:00,06:19:00
0508,06:26:00,07:04:00
0509,05:56:00,06:34:00
0510,06:41:00,07:19:00
0511,06:11:00,06:49:00
0512,06:56:00,07:34:00
0513,06:26:00,07:04:00
0514,07:11:00,07:49:00
0515,06:41:00,07:19:00
0516,07:26:00,08:04:00
0517,06:56:00,07:34:00
0518,07:41:00,08:19:00
0519,07:11:00,07:49:00
0520,07:56:00,08:34:00
0521,07:26:00,08:04:00
0522,08:11:00,08:49:00
0523,07:41:00,08:19:00
0524,08:26:00,09:04:00
0525,08:11:00,08:49:00
0526,08:56:00,09:34:00
0527,08:41:00,09:19:00
0528,09:26:00,10:04:00
0529,09:11:00,09:49:00
0530,09:56:00,10:34:00
0531,09:41:00,10:19:00
0532,10:26:00,11:04:00
0533,10:11:00,10:49:00
0534,10:56:00,11:34:00
0535,10:41:00,11:19:00
0536,11:26:00,12:04:00
0537,11:11:00,11:49:00
0538,11:56:00,12:34:00
0539,11:41:00,12:19:00
0540,12:26:00,13:04:00
0541,12:11:00,12:49:00
0542,12:56:00,13:34:00
0543,12:41:00,13:19:00
0544,13:26:00,14:04:00
0545,13:11:00,13:49:00
0546,13:56:00,14:34:00
0547,13:41:00,14:19:00
0548,14:26:00,15:04:00
0549,14:11:00,14:49:00
0550,14:56:00,15:34:00
0551,14:41:00,15:19:00
0552,15:26:00,16:04:00
0553,14:56:00,15:34:00
0554,15:41:00,16:19:00
0555,15:11:00,15:49:00
0556,15:56:00,16:34:00
0557,15:26:00,16:04:00
0558,16:11:00,16:49:00
0559,15:41:00,16:19:00
0560,16:26:00,17:04:00
0561,15:56:00,16:34:00
0562,16:41:00,17:19:00
0563,16:11:00,16:49:00
0564,16:56:00,17:34:00
0565,16:26:00,17:04:00
0566,17:11:00,17:49:00
0567,16:41:00,17:19:00
0568,17:26:00,18:04:00
0569,16:56:00,17:34:00
0570,17:41:00,18:19:00
0571,17:11:00,17:49:00
0572,17:56:00,18:34:00
0573,17:26:00,18:04:00
0574,18:11:00,18:49:00
0575,17:41:00,18:19:00
0576,18:26:00,19:04:00
0577,17:56:00,18:34:00
0578,18:41:00,19:19:00
0579,18:11:00,18:49:00
0580,19:11:00,19:49:00
0581,18:41:00,19:19:00
0582,19:41:00,20:19:00
0583,19:11:00,19:49:00
0584,19:56:00,20:34:00
3201,04:04:00,04:40:00,04:41:00,05:32:00
3501,04:31:00,05:07:00,05:08:00,06:07:00
3401,04:50:00,05:26:00,05:27:00,06:28:00
3503,05:00:00,05:36:00,05:37:00,06:40:00
3203,05:10:00,05:46:00,05:47:00,06:42:00
3505,05:25:00,06:01:00,06:02:00,07:01:00
3403,05:33:00,06:09:00,06:10:00,07:10:00
3202,05:40:00,06:26:00,06:27:00,07:03:00
3205,05:54:00,06:30:00,06:31:00,07:22:00
3507,06:07:00,06:43:00,06:44:00,07:50:00
3405,06:12:00,06:48:00,06:49:00,07:50:00
3207,06:34:00,07:10:00,07:11:00,08:02:00
3402,06:35:00,07:24:00,07:25:00,08:00:00
3502,06:36:00,07:39:00,07:40:00,08:13:00
3407,06:49:00,07:25:00,07:26:00,08:24:00
3204,06:50:00,07:35:00,07:36:00,08:12:00
3504,06:50:00,07:53:00,07:54:00,08:31:00
3404,07:17:00,08:06:00,08:07:00,08:44:00
3209,07:24:00,08:00:00,08:01:00,08:45:00
3506,07:28:00,08:31:00,08:32:00,09:08:00
3206,07:30:00,08:15:00,08:16:00,08:52:00
3509,07:40:00,08:16:00,08:17:00,09:16:00
3508,08:00:00,09:03:00,09:04:00,09:40:00
3208,08:10:00,09:09:00,09:10:00,09:46:00
3406,08:10:00,08:59:00,09:00:00,09:36:00
3409,08:13:00,08:49:00,08:50:00,09:40:00
3211,08:50:00,09:26:00,09:27:00,10:11:00
3408,08:55:00,09:51:00,09:52:00,10:28:00
3511,09:00:00,09:36:00,09:37:00,10:36:00
3210,09:15:00,10:00:00,10:01:00,10:37:00
3510,09:26:00,10:29:00,10:30:00,11:06:00
3411,09:30:00,10:06:00,10:07:00,10:57:00
3213,09:55:00,10:31:00,10:32:00,11:16:00
3410,09:55:00,10:44:00,10:45:00,11:21:00
3212,10:20:00,11:05:00,11:06:00,11:42:00
3513,10:20:00,10:56:00,10:57:00,11:56:00
3512,10:45:00,11:47:00,11:48:00,12:24:00
3215,11:10:00,11:46:00,11:47:00,12:31:00
3413,11:24:00,12:00:00,12:01:00,12:51:00
3214,11:26:00,12:11:00,12:12:00,12:48:00
3412,11:30:00,12:19:00,12:30:00,13:06:00
3515,12:00:00,12:36:00,12:37:00,13:36:00
3514,12:24:00,13:27:00,13:28:00,14:04:00
3217,12:35:00,13:11:00,13:12:00,13:56:00
3415,12:54:00,13:30:00,13:31:00,14:21:00
3216,12:55:00,13:40:00,13:41:00,14:17:00
3414,13:10:00,13:59:00,14:00:00,14:36:00
3219,13:45:00,14:21:00,14:22:00,15:06:00
3517,13:53:00,14:29:00,14:30:00,15:29:00
3417,14:01:00,14:37:00,14:38:00,15:37:00
3516,14:05:00,15:08:00,15:09:00,15:45:00
3218,14:10:00,14:55:00,14:56:00,15:32:00
3221,14:28:00,15:04:00,15:05:00,15:49:00
3519,14:37:00,15:13:00,15:14:00,16:13:00
3416,14:45:00,15:34:00,15:35:00,16:11:00
3223,15:09:00,15:45:00,15:46:00,16:30:00
3220,15:14:00,16:08:00,16:09:00,16:45:00
3419,15:23:00,15:59:00,16:00:00,16:50:00
3518,15:41:00,16:44:00,16:45:00,17:21:00
3418,15:47:00,16:36:00,16:37:00,17:13:00
3521,15:52:00,16:28:00,16:29:00,17:28:00
3222,15:57:00,16:50:00,16:51:00,17:27:00
3421,16:10:00,16:46:00,16:47:00,17:37:00
3523,16:15:00,16:51:00,16:52:00,17:51:00
3225,16:20:00,16:56:00,16:57:00,17:41:00
3520,16:21:00,17:24:00,17:25:00,18:01:00
3224,16:40:00,17:25:00,17:26:00,18:02:00
3420,17:00:00,17:59:00,18:00:00,18:36:00
